name,views,description,img_alt,video_link,warn_info
asics,4803,All eyes on London this week 👀 ,All eyes on London this week 👀 @matberrettini #asicstennis #tennistips #tennistok #grasscourttennis  created by ASICS with Jaycee Mante's SALSA JAM NO.1,/@asics/video/7146275708543716609,
asics,26.2K,Counting down to an exciting weekend of 🎾 ,Counting down to an exciting weekend of 🎾 @matberrettini #tennistiktok #tennis #asicstennis  #matteoberrettini  created by ASICS with Chris Alan Lee's Swear By It,/@asics/video/7145173320323894529,
asics,6196,Introducing the DYNABLAST 3. Now available on ASICS.com and at your local running store! ,Introducing the DYNABLAST 3. Now available on ASICS.com and at your local running store! #sneakers #runningshoes #marathoneducation  created by ASICS with ASICS's original sound,/@asics/video/7143999169546456321,
asics,6294, helps introduce our latest colorway of the GEL-KAYANO 14. Available now on ASICS.com in the US. ,@VICKATRILLION helps introduce our latest colorway of the GEL-KAYANO 14. Available now on ASICS.com in the US. #sneakers #sneakerhead #sneakerhaul #dancing #fashion #shoes  created by ASICS with ASICS's original sound,/@asics/video/7142854544035155202,
asics,2762, x ,@pleasuresnow.com x @asics. Available at select @footlocker stores on 9/17. created by ASICS with ASICS's original sound - ASICS,/@asics/video/7142565184454855938,
asics,11.3K,Whats new with the GEL-KAYANO 29? ,Whats new with the GEL-KAYANO 29? #asics #sneaker #sneakerhead #running #marathon  created by ASICS with ASICS's original sound,/@asics/video/7141453670985501953,
asics,5546,The NOVABLAST 3 is available now worldwide on ASICS.com ,The NOVABLAST 3 is available now worldwide on ASICS.com #running #sneakers #shoes #shoehaul #asics  created by ASICS with ASICS's original sound,/@asics/video/7140634307181251842,
asics,11K,"Introducing the NOVABLAST 3! Available now around the world, coming to the US on 9/15. ","Introducing the NOVABLAST 3! Available now around the world, coming to the US on 9/15. #running #sneakers #marathon #racing #runtok  created by ASICS with ASICS's original sound",/@asics/video/7138788563788778754,
asics,7065,Start your countdown for the ,Start your countdown for the #NOVABLAST3. Launching today on asics.com around the world. Available 9/15 in the US. #running #sneakers #marathon #track created by ASICS with Official Sound Studio's Countdown,/@asics/video/7138430437109533953,
asics,2602,Guess everyone’s out for their daily run 🤷‍♀️ ,Guess everyone’s out for their daily run 🤷‍♀️ #asics #running #summer created by ASICS with Takeshi Shono's Crickets and water sounds of summer night,/@asics/video/7137334774766570753,
asics,3305,How well do you know your running shoe? ,How well do you know your running shoe? #ASICSshoes #ASICSRunning  #runtok #satisfying #RunForIt #ShoeAnatomy created by ASICS with ASICS's original sound,/@asics/video/7136179966743416065,
asics,3621,"Stretch properly, stay safe. Warming up before running is always a good idea. ","Stretch properly, stay safe. Warming up before running is always a good idea. #ASICS #ASICSshoes👟 #ASICSRunning #RunnersStretch #RunningStretches created by ASICS with ASICS's original sound - ASICS",/@asics/video/7135442053529488642,
asics,7917,Let this beauty motivate you to run today. ,Let this beauty motivate you to run today. #GELKINSEI #ASICS #ASICSshoes👟 #ASICSRunning #RunTok #Satisfying #runforit #meditate #SelfCare #ShoeASMR # created by ASICS with ASICS's original sound - ASICS,/@asics/video/7134894874368740610,
asics,17.1K,Take us with you wherever you’re running today.  ,Take us with you wherever you’re running today.  #ASICS  #ASICSshoes👟 #ASICSRunning #RunForIt #RunningTok #RunningOutfit created by ASICS with ASICS's original sound - ASICS,/@asics/video/7133582701088525569,
